date,stock_id,stock_name
2025-01-08,6531,愛普*
2025-01-08,6546,正基
2025-01-08,6558,興能高
2025-01-08,6689,
2025-01-08,6691,洋基工程
2025-01-08,6695,芯鼎
2025-01-08,6706,惠特
2025-01-08,6757,台灣虎航
2025-01-08,6781,AES-KY
2025-01-08,6789,采鈺
2025-01-08,6805,富世達
2025-01-08,6877,鏵友益
2025-01-08,6937,天虹
2025-01-08,6962,奕力-KY
2025-01-08,8028,昇陽半導體
2025-01-08,8033,雷虎
2025-01-08,8054,
2025-01-08,8086,宏捷科
2025-01-08,8111,立碁
2025-01-08,8234,新漢
2025-01-08,8249,菱光
2025-01-08,8996,
2025-01-08,9105,
2025-01-08,9941,裕融
2025-01-09,1536,和大
2025-01-09,1597,直得
2025-01-09,1815,富喬
2025-01-09,2049,上銀
2025-01-09,2233,宇隆
2025-01-09,2312,金寶
2025-01-09,2328,
2025-01-09,2332,友訊
2025-01-09,2345,智邦
2025-01-09,2348,海悅
2025-01-09,2359,所羅門
2025-01-09,2365,昆盈
2025-01-09,2371,大同
2025-01-09,2374,佳能
2025-01-09,2392,正崴
2025-01-09,2404,漢唐
2025-01-09,2486,一詮
2025-01-09,2498,宏達電
2025-01-09,3019,亞光
2025-01-09,3025,星通
2025-01-09,3029,零壹
2025-01-09,3032,偉訓
2025-01-09,3041,揚智
2025-01-09,3059,華晶科
2025-01-09,3078,僑威
2025-01-09,3081,聯亞
2025-01-09,3088,艾訊
2025-01-09,3147,大綜
2025-01-09,3163,波若威
2025-01-09,3167,大量
2025-01-09,3189,景碩
2025-01-09,3211,順達
2025-01-09,3230,錦明
2025-01-09,3323,加百裕
2025-01-09,3324,雙鴻
2025-01-09,3362,先進光
2025-01-09,3363,上詮
2025-01-09,3376,新日興
2025-01-09,3406,玉晶光
2025-01-09,3443,創意
2025-01-09,3450,聯鈞
2025-01-09,3491,昇達科
2025-01-09,3548,兆例
2025-01-09,3558,神準
2025-01-09,3645,達邁
2025-01-09,3661,世芯-KY
2025-01-09,3694,海華
2025-01-09,3706,神達
2025-01-09,4303,信立
2025-01-09,4510,高鋒
2025-01-09,4540,全球傳動
2025-01-09,4549,桓達
2025-01-09,4561,健椿
2025-01-09,4562,穎漢
2025-01-09,4571,鈞興-KY
2025-01-09,4576,大銀微系統
2025-01-09,4583,台灣精銳
2025-01-09,4908,前鼎
2025-01-09,4912,聯德控股-KY
2025-01-09,4931,新盛力
2025-01-09,4968,立積
2025-01-09,4974,亞泰
2025-01-09,4977,眾達-KY
2025-01-09,4979,華星光
2025-01-09,4991,環宇-KY
2025-01-09,5243,乙盛-KY
2025-01-09,5269,祥碩
2025-01-09,5309,系統電
2025-01-09,5347,世界
2025-01-09,5371,中光電
2025-01-09,5388,中磊
2025-01-09,5392,能率
2025-01-09,5439,高技
2025-01-09,5474,
2025-01-09,5522,遠雄
2025-01-09,5536,聖暉*
2025-01-09,6104,創惟
2025-01-09,6187,萬潤
2025-01-09,6191,精成科
2025-01-09,6214,精誠
2025-01-09,6215,和椿
2025-01-09,6223,旺矽
2025-01-09,6285,啟碁
2025-01-09,6415,矽力*-KY
2025-01-09,6438,迅得
2025-01-09,6442,光聖
2025-01-09,6446,藥華藥
2025-01-09,6451,訊芯-KY
2025-01-09,6531,愛普*
2025-01-09,6546,正基
2025-01-09,6558,興能高
2025-01-09,6683,雍智科技
2025-01-09,6689,
2025-01-09,6691,洋基工程
2025-01-09,6695,芯鼎
2025-01-09,6706,惠特
2025-01-09,6757,台灣虎航
2025-01-09,6781,AES-KY
2025-01-09,6789,采鈺
2025-01-09,6805,富世達
2025-01-09,6937,天虹
2025-01-09,8028,昇陽半導體
2025-01-09,8033,雷虎
2025-01-09,8054,
2025-01-09,8086,宏捷科
2025-01-09,8111,立碁
2025-01-09,8234,新漢
2025-01-09,8249,菱光
2025-01-09,8996,
2025-01-09,9105,
2025-01-09,9941,裕融
2025-01-10,1536,和大
2025-01-10,1569,濱川
2025-01-10,1597,直得
2025-01-10,1815,富喬
2025-01-10,2049,上銀
2025-01-10,2233,宇隆
2025-01-10,2312,金寶
2025-01-10,2328,
2025-01-10,2332,友訊
2025-01-10,2345,智邦
2025-01-10,2348,海悅
2025-01-10,2359,所羅門
2025-01-10,2365,昆盈
2025-01-10,2371,大同
2025-01-10,2374,佳能
2025-01-10,2392,正崴
2025-01-10,2486,一詮
2025-01-10,2498,宏達電
2025-01-10,3019,亞光
2025-01-10,3025,星通
2025-01-10,3029,零壹
2025-01-10,3032,偉訓
2025-01-10,3041,揚智
2025-01-10,3059,華晶科
2025-01-10,3078,僑威
2025-01-10,3081,聯亞
2025-01-10,3088,艾訊
2025-01-10,3147,大綜
2025-01-10,3163,波若威
2025-01-10,3167,大量
2025-01-10,3189,景碩
2025-01-10,3211,順達
2025-01-10,3230,錦明
2025-01-10,3323,加百裕
2025-01-10,3324,雙鴻
2025-01-10,3362,先進光
2025-01-10,3363,上詮
2025-01-10,3376,新日興
2025-01-10,3406,玉晶光
2025-01-10,3443,創意
2025-01-10,3450,聯鈞
2025-01-10,3491,昇達科
2025-01-10,3548,兆例
2025-01-10,3645,達邁
2025-01-10,3661,世芯-KY
2025-01-10,3694,海華
2025-01-10,3706,神達
2025-01-10,4303,信立
2025-01-10,4510,高鋒
2025-01-10,4540,全球傳動
2025-01-10,4549,桓達
2025-01-10,4561,健椿
2025-01-10,4562,穎漢
2025-01-10,4571,鈞興-KY
2025-01-10,4576,大銀微系統
2025-01-10,4583,台灣精銳
2025-01-10,4908,前鼎
2025-01-10,4912,聯德控股-KY
2025-01-10,4919,新唐
2025-01-10,4931,新盛力
2025-01-10,4968,立積
2025-01-10,4974,亞泰
2025-01-10,4977,眾達-KY
2025-01-10,4979,華星光
2025-01-10,4991,環宇-KY
2025-01-10,5243,乙盛-KY
2025-01-10,5269,祥碩
2025-01-10,5309,系統電
2025-01-10,5347,世界
2025-01-10,5371,中光電
2025-01-10,5388,中磊
2025-01-10,5392,能率
2025-01-10,5439,高技
2025-01-10,5474,
2025-01-10,5522,遠雄
2025-01-10,5536,聖暉*
2025-01-10,6104,創惟
2025-01-10,6187,萬潤
2025-01-10,6191,精成科
2025-01-10,6214,精誠
2025-01-10,6215,和椿
2025-01-10,6223,旺矽
2025-01-10,6285,啟碁
2025-01-10,6415,矽力*-KY
2025-01-10,6438,迅得
2025-01-10,6442,光聖
2025-01-10,6446,藥華藥
2025-01-10,6451,訊芯-KY
2025-01-10,6531,愛普*
2025-01-10,6546,正基
2025-01-10,6558,興能高
2025-01-10,6683,雍智科技
2025-01-10,6689,
2025-01-10,6706,惠特
2025-01-10,6757,台灣虎航
2025-01-10,6781,AES-KY
2025-01-10,6789,采鈺
2025-01-10,6805,富世達
2025-01-10,6919,康霈*
2025-01-10,6937,天虹
2025-01-10,8028,昇陽半導體
2025-01-10,8033,雷虎
2025-01-10,8054,
2025-01-10,8086,宏捷科
2025-01-10,8111,立碁
2025-01-10,8234,新漢
2025-01-10,8249,菱光
2025-01-10,8996,
2025-01-10,9105,
2025-01-10,9941,裕融
2025-01-13,1536,和大
2025-01-13,1569,濱川
2025-01-13,1597,直得
2025-01-13,1815,富喬
2025-01-13,2049,上銀
2025-01-13,2233,宇隆
2025-01-13,2312,金寶
2025-01-13,2328,
2025-01-13,2332,友訊
2025-01-13,2345,智邦
2025-01-13,2348,海悅
2025-01-13,2359,所羅門
2025-01-13,2365,昆盈
2025-01-13,2371,大同
2025-01-13,2374,佳能
2025-01-13,2392,正崴
2025-01-13,2486,一詮
2025-01-13,2498,宏達電
2025-01-13,3019,亞光
2025-01-13,3025,星通
2025-01-13,3029,零壹
2025-01-13,3032,偉訓
2025-01-13,3041,揚智
2025-01-13,3059,華晶科
2025-01-13,3078,僑威
2025-01-13,3081,聯亞
2025-01-13,3088,艾訊
2025-01-13,3147,大綜
2025-01-13,3163,波若威
2025-01-13,3167,大量
2025-01-13,3189,景碩
2025-01-13,3211,順達
2025-01-13,3230,錦明
2025-01-13,3264,欣銓
2025-01-13,3323,加百裕
2025-01-13,3362,先進光
2025-01-13,3363,上詮
2025-01-13,3376,新日興
2025-01-13,3406,玉晶光
2025-01-13,3443,創意
2025-01-13,3450,聯鈞
2025-01-13,3491,昇達科
2025-01-13,3548,兆例
2025-01-13,3645,達邁
2025-01-13,3661,世芯-KY
2025-01-13,3694,海華
2025-01-13,3706,神達
2025-01-13,4303,信立
2025-01-13,4510,高鋒
2025-01-13,4540,全球傳動
2025-01-13,4549,桓達
2025-01-13,4561,健椿
2025-01-13,4562,穎漢
