date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2025-03-18,6239,力成,131.0,514211491,2000000,2481663668,-
2025-03-25,4991,環宇-KY,117.5,2197877597,9000000,3115576057,-
2025-03-27,2468,華經,62.8,936570200,3500000,7993515338,-
2025-03-27,3078,僑威,95.9,583078018,2500000,5003530275,-
2025-04-01,4541,晟田,48.5,721948230,3000000,7870144245,-
2025-04-02,3376,新日興,242.5,1553815978,6000000,1960830783,-
2025-04-02,6829,千附精密,153.0,676972443,2500000,1500835735,-
2025-04-02,3162,精確,53.8,663008575,2500000,620440995,-
2025-04-02,6517,保勝光學,102.0,627658496,2500000,2092138395,-
2025-04-07,8096,擎亞,68.8,2028401213,8000000,3684927666,-
2025-04-07,4541,晟田,53.9,1252138846,5000000,5017517126,-
2025-04-07,8222,寶一,54.0,805822672,3000000,6338543625,-
2025-04-07,1514,亞力,106.0,531590630,2000000,1108596738,-
2025-04-09,1319,東陽,123.5,657585809,2500000,1838682496,-
2025-04-11,3376,新日興,186.0,1339276722,5500000,3374320315,-
2025-04-11,2884,玉山金,27.8,882115101,3500000,1713433891,-
2025-04-11,2606,裕民,51.9,815731817,3500000,814710668,-
2025-04-11,2429,銘旺科,43.75,753362417,3000000,302945994,-
2025-04-11,6919,康霈*,600.0,692175266,3000000,6613881369,-
2025-04-14,2368,金像電,171.0,1070145499,4500000,2915553197,-
2025-04-15,2609,陽明,73.6,2328642551,9500000,9359743471,-
2025-04-15,2328,,36.8,2221787097,9000000,1015955836,-
2025-04-15,4991,環宇-KY,91.8,1841603233,7500000,1113267186,-
2025-04-15,3037,欣興,84.7,1628751892,6500000,2346041044,-
2025-04-15,3376,新日興,189.5,1427034651,5500000,2909608074,-
2025-04-15,6223,旺矽,599.0,1425630012,5500000,1738106420,-
2025-04-15,6805,富世達,449.0,1390312878,5500000,2088902394,-
2025-04-15,8111,立碁,37.9,1381083147,5500000,384607047,-
2025-04-15,3081,聯亞,237.5,1010244229,4000000,1944449164,-
2025-04-15,1590,亞德客-KY,802.0,1008793007,4000000,1324594766,-
2025-04-16,1519,華城,418.5,1912906475,7500000,2579100367,-
2025-04-16,2429,銘旺科,47.8,695349545,3000000,373167291,-
2025-04-18,2474,可成,213.5,613603616,2500000,1915468649,-
2025-04-23,3163,波若威,146.0,5034925086,20000000,5945959349,-
2025-04-23,4979,華星光,142.5,3554025021,14000000,3805897866,-
2025-04-24,4541,晟田,50.6,2221223535,9000000,2062494628,-
2025-04-24,3037,欣興,88.8,1508109829,6000000,2826416098,-
2025-04-24,6140,訊達,44.7,775700160,3000000,1457875660,-
2025-04-25,6148,驊宏資,67.4,2235873543,9000000,3158525709,-
2025-04-28,3017,奇鋐,471.0,3164403006,13000000,6695939233,-
2025-05-02,1536,和大,63.2,502800140,2000000,2415546773,-
2025-05-07,6140,訊達,46.8,1226746566,5000000,1005529650,-
2025-05-07,4949,有成精密,52.6,699100957,3000000,1179295882,-
2025-05-08,8072,陞泰,46.7,725615174,3000000,2613629900,-
2025-05-08,5251,天鉞電,49.9,528620740,2000000,2220879271,-
2025-05-09,3528,安馳,91.3,932046712,3500000,2705901442,-
2025-05-09,3363,上詮,219.0,601974350,2500000,3868964592,-
2025-05-09,3013,晟銘電,92.4,502277686,2000000,1730391008,-
2025-05-12,4541,晟田,53.3,1553175128,6000000,2968859327,-
2025-05-13,6890,,312.0,598128931,2500000,815235279,-
2025-05-14,2609,陽明,78.0,2355408201,9500000,10114416342,-
2025-05-14,2615,萬海,92.0,1685833899,6500000,6419167358,-
2025-05-14,2344,華邦電,17.9,882032130,3500000,3641098587,-
2025-05-14,6104,創惟,160.0,766457106,3000000,3305183525,-
2025-05-14,5251,天鉞電,48.6,688128243,3000000,1354589479,-
2025-05-15,3163,波若威,170.5,3640723270,15000000,7341705107,-
2025-05-15,8111,立碁,54.0,587404204,2500000,1598298659,-
2025-05-16,3706,神達,61.5,705886100,3000000,6271388629,-
2025-05-20,1503,士電,193.5,664365798,2500000,8327677348,-
2025-05-21,5201,凱衛,48.85,636284304,2500000,374433024,-
2025-05-22,8072,陞泰,49.2,793824823,3000000,3243753233,-
2025-05-23,6187,萬潤,326.5,863318488,3500000,2612607322,-
2025-05-23,4583,台灣精銳,820.0,859141276,3500000,2191841985,-
2025-05-28,6191,精成科,95.1,1374947841,5500000,8649139905,-
2025-05-28,6227,茂綸,103.0,758387273,3000000,819273462,-
2025-05-29,4303,信立,82.3,2121158271,8500000,1729603074,-
2025-05-29,1815,富喬,35.3,1343318718,5500000,8014893850,-
2025-05-29,3434,哲固,58.1,575561389,2500000,647693714,-
2025-06-02,2408,南亞科,45.55,3743521541,15000000,7278300671,-
2025-06-05,6215,和椿,109.0,1567010063,6500000,2541117494,-
2025-06-05,5251,天鉞電,52.2,915882666,3500000,2943360761,-
2025-06-10,6517,保勝光學,81.6,612040993,2500000,922094648,-
2025-06-10,8088,品安,37.65,562098018,2000000,2702111953,-
2025-06-13,3706,神達,67.5,2579086853,10000000,12664080142,-
2025-06-16,3167,大量,130.0,1293043258,5000000,5467493230,-
2025-06-17,3013,晟銘電,126.0,1238313309,5000000,5294397617,-
2025-06-25,3013,晟銘電,136.5,2555956903,10000000,7169114791,-
2025-06-25,3211,順達,207.5,992064802,4000000,4787466676,-
2025-06-25,2455,全新,125.5,545063087,2000000,1631919354,-
2025-06-30,3036,文曄,133.5,894537160,3500000,8704415022,-
2025-07-01,2368,金像電,295.0,3058712250,12000000,7923331994,-
2025-07-04,4949,有成精密,55.4,798176599,3000000,1164097197,-
2025-07-04,6890,,310.0,661640859,2500000,1812166859,-
2025-07-09,2468,華經,64.0,760344313,3000000,1413056489,-
2025-07-10,4931,新盛力,99.5,2578110464,10000000,4515383644,-
2025-07-11,6472,,844.0,768821080,3000000,3394503519,-
2025-07-14,3715,定穎投控,62.3,702554193,3000000,3327704473,-
2025-07-17,8932,,145.5,774310123,3000000,2459298991,-
2025-07-23,3706,神達,78.8,4820079801,19000000,25546922094,-
2025-07-23,3167,大量,170.0,3985889823,16000000,11091454340,-
2025-07-23,3032,偉訓,99.1,700131588,3000000,2377678377,-
2025-07-24,8046,南電,171.5,3388462642,14000000,7821780986,-
2025-07-24,6215,和椿,122.5,836706805,3500000,5471567498,-
2025-07-25,3032,偉訓,118.0,829613913,3500000,4594728348,-
2025-07-29,1802,台玻,22.35,699584026,3000000,5072582069,-
2025-07-30,4958,臻鼎-KY,127.5,991660482,4000000,6320878246,-
2025-07-31,1815,富喬,49.7,5327105520,21000000,10260677464,-
2025-08-01,2316,楠梓電,82.0,981823272,4000000,2582248672,-
2025-08-04,3715,定穎投控,85.9,2463361360,10000000,4819646079,-
2025-08-04,3491,昇達科,344.5,521329295,2000000,1349148459,-
2025-08-08,8069,元太,237.5,1034767167,4000000,3966375653,-
2025-08-11,3715,定穎投控,94.4,3460903627,14000000,8624223328,-
2025-08-11,3044,健鼎,312.0,1457007177,6000000,3785525852,-
2025-08-11,5309,系統電,50.4,642252607,2500000,4195411783,-
2025-08-12,2368,金像電,440.5,3929834310,16000000,8904484373,-
2025-08-13,8358,金居,140.5,6773276336,27000000,17441359724,-
2025-08-13,4991,環宇-KY,170.5,2368898268,9500000,6648609540,-
2025-08-14,4958,臻鼎-KY,161.0,1932786738,7500000,17771488761,-
2025-08-15,2313,華通,77.7,1199577366,5000000,10748072364,-
2025-08-18,1815,富喬,78.9,9354527718,37000000,16301782222,-
2025-08-18,4931,新盛力,157.5,4392265817,18000000,8642546587,-
2025-08-18,3645,達邁,74.0,1069731289,4500000,5288605223,-
2025-08-19,3189,景碩,111.5,1302510805,5000000,3805415051,-
2025-08-19,5309,系統電,56.6,1188436597,5000000,2949002067,-
2025-08-19,3030,德律,204.0,721322352,3000000,2439714462,-
2025-08-20,6213,聯茂,135.0,2731055909,11000000,13710210334,-
2025-08-20,5371,中光電,106.0,2614895098,10000000,8326382233,-
2025-08-22,5371,中光電,105.5,3200554209,13000000,9591456406,-
2025-08-25,8033,雷虎,133.5,2168918986,8500000,5268423328,-
2025-08-25,1504,東元,67.5,1596211020,6500000,11561341651,-
2025-08-26,6672,騰輝電子-KY,97.8,533774424,2000000,872175639,-
2025-08-27,5371,中光電,120.5,4173022625,17000000,13509272800,-
2025-08-27,3189,景碩,114.0,1392659033,5500000,4142697004,-
2025-08-28,4971,IET-KY,183.5,735144567,3000000,1718580971,-
2025-08-28,6672,騰輝電子-KY,105.5,546207080,2000000,1185561899,-
2025-08-29,3305,昇貿,129.0,2237735523,9000000,7535995917,-
2025-08-29,4510,高鋒,52.7,519582732,2000000,1226899479,-
2025-09-01,3715,定穎投控,114.0,5376996774,22000000,6469796606,-
2025-09-01,2476,鉅祥,102.5,590098818,2500000,1973180717,-
2025-09-02,3305,昇貿,127.5,2691063060,11000000,8720013474,-
2025-09-02,6139,亞翔,378.5,1880559759,7500000,7123680437,-
2025-09-03,3294,英濟,57.2,1278575753,5000000,6103008441,-
2025-09-04,6191,精成科,146.5,3739001493,15000000,10930659863,-
2025-09-05,2645,長榮航太,196.0,2737897194,11000000,7771526603,-
2025-09-05,2630,亞航,69.4,958545086,4000000,2565175783,-
2025-09-05,6197,佳必琪,178.5,821780917,3500000,4705685490,-
2025-09-05,4541,晟田,64.3,681640378,2500000,5087751265,-
2025-09-08,3305,昇貿,126.0,3589240156,14000000,3008928880,-
2025-09-08,6753,龍德造船,180.5,873800331,3500000,7891064387,-
2025-09-09,2408,南亞科,53.5,2666525076,11000000,18290503451,-
2025-09-09,2344,華邦電,24.6,1337972421,5500000,10572092448,-
2025-09-10,2308,台達電,784.0,9156637346,37000000,16658035631,-
2025-09-10,1802,台玻,29.9,3722467154,15000000,7750613359,-
2025-09-10,2049,上銀,220.5,749928183,3000000,4491417993,-
2025-09-12,2301,光寶科,165.5,2706660786,11000000,25900378250,-
2025-09-12,8039,台虹,65.0,662417996,2500000,3051455535,-
2025-09-15,3305,昇貿,154.0,4101727246,16000000,15666905197,-
2025-09-15,3450,聯鈞,206.0,1882638572,7500000,11229279346,-
2025-09-15,8299,群聯,624.0,1828885681,7500000,6108072696,-
2025-09-16,6415,矽力*-KY,282.5,663111799,2500000,3075812580,-
2025-09-17,2408,南亞科,69.2,4989910300,20000000,29870846020,-
2025-09-18,5443,均豪,110.0,859618563,3500000,2812285153,-
2025-09-19,6531,愛普*,353.5,912990095,3500000,4783122635,-
2025-09-19,4722,國精化,138.5,532540009,2000000,1641630855,-
2025-09-22,1815,富喬,67.5,4664783029,19000000,9337317273,-
2025-09-23,4979,華星光,230.0,3294216729,13000000,12264257560,-
2025-09-24,8021,尖點,92.9,1955493764,8000000,7316654475,-
2025-09-25,1504,東元,101.5,5180278576,21000000,32966658731,-
2025-09-25,4931,新盛力,163.0,1230054364,5000000,3662269550,-
2025-09-26,1802,台玻,28.7,1808606577,7000000,5402519500,-
2025-09-26,4722,國精化,171.0,996086393,4000000,4894514261,-
2025-09-26,3481,群創,14.8,931275355,3500000,5801216683,-
2025-09-30,2492,華新科,105.5,751266628,3000000,7824092423,-
2025-10-02,3715,定穎投控,95.7,2495538664,10000000,6753899461,-
2025-10-02,8996,,359.5,1089306641,4500000,3744028193,-
2025-10-03,3450,聯鈞,300.5,5897053983,24000000,18896598383,-
2025-10-07,5371,中光電,116.0,3825838938,15000000,4611378555,-
2025-10-07,3016,嘉晶,57.3,785818605,3000000,1276715260,-
2025-10-07,3532,台勝科,108.0,647597249,2500000,1424700633,-
2025-10-08,5536,聖暉*,822.0,1634854117,6500000,2172533715,-
2025-10-13,2408,南亞科,98.5,9791264919,39000000,21282755179,-
2025-10-13,6139,亞翔,433.5,1856423978,7500000,7185342615,-
2025-10-13,1605,華新,32.3,1797896866,7000000,11348117521,-
2025-10-13,8110,華東,24.0,562410457,2000000,2007107687,-
2025-10-14,8271,宇瞻,92.5,505457777,2000000,4811762547,-
2025-10-15,3260,威剛,179.0,3510970964,14000000,10135526582,-
2025-10-15,2360,致茂,663.0,2185916664,8500000,6883879028,-
2025-10-15,6290,良維,143.5,1055142582,4000000,6246700509,-
2025-10-17,5289,宜鼎,428.0,1619810579,6500000,4240858705,-
2025-10-17,4991,環宇-KY,142.0,1209904759,5000000,1745809045,-
2025-10-17,2421,建準,145.0,641576241,2500000,3668431531,-
2025-10-21,6442,光聖,857.0,3201682697,13000000,6214458932,-
2025-10-21,8088,品安,49.15,539288734,2000000,3704453522,-
2025-10-22,8054,,126.5,742541872,3000000,3005102588,-
2025-10-23,3211,順達,347.0,1896753967,7500000,5638608937,-
2025-10-23,2472,立隆電,107.5,520603194,2000000,4545840279,-
2025-10-27,2327,國巨*,226.0,10642509760,43000000,30493684940,-
2025-10-27,2492,華新科,123.0,2486104452,10000000,9386209682,-
2025-10-27,6213,聯茂,108.5,608424128,2500000,3170557265,-
2025-10-28,3715,定穎投控,97.6,2898498367,12000000,4659151007,-
2025-10-31,3413,京鼎,364.0,779344448,3000000,3658809982,-
2025-11-03,6274,台燿,385.5,4815062328,19000000,17890586905,-
2025-11-04,2408,南亞科,137.0,15039489071,50000000,23711117786,-
2025-11-04,3037,欣興,178.5,4022039033,16000000,16035362900,-
2025-11-04,3305,昇貿,109.5,855122618,3500000,1684570445,-
2025-11-04,3264,欣銓,101.0,649221934,2500000,2865835600,-
2025-11-05,8033,雷虎,140.5,786019790,3000000,3879322970,-
2025-11-05,3167,大量,193.5,604033141,2500000,4831905239,-
2025-11-07,8996,,662.0,2913480077,12000000,4253797725,-
2025-11-07,8112,至上,74.6,2246852714,9000000,6499823763,-
2025-11-07,3006,晶豪科,95.6,2196363954,9000000,3944125297,-
2025-11-07,6191,精成科,129.0,2132112118,8500000,7222146159,-
2025-11-11,3715,定穎投控,101.5,2554711877,10000000,7087466185,-
2025-11-11,4967,十銓,149.0,2219690040,9000000,5430641523,-
2025-11-11,8054,,138.0,1497276842,6000000,2597057819,-
2025-11-11,3013,晟銘電,138.0,678916860,2500000,4683357004,-
2025-11-12,2337,旺宏,40.2,5666401261,23000000,17902836714,-
2025-11-12,8271,宇瞻,122.5,1724758161,7000000,5439160408,-
2025-11-12,4722,國精化,169.5,605061518,2500000,1324621927,-
2025-11-13,6274,台燿,407.0,6085533803,24000000,13248071184,-
2025-11-13,3260,威剛,221.5,4450861067,18000000,6956851091,-
2025-11-14,5289,宜鼎,558.0,2494358014,10000000,7006699479,-
2025-11-14,1303,南亞,53.8,2263935475,9000000,17904603214,-
2025-11-14,6173,信昌電,67.5,1335624760,5500000,3027013372,-
2025-11-18,2344,華邦電,66.2,4910692189,20000000,2983977970,-
2025-11-18,4967,十銓,146.5,1789392015,7000000,3953975935,-
2025-11-19,8043,蜜望實,64.4,734602548,3000000,3392407557,-
2025-11-20,8043,蜜望實,66.6,876679640,3500000,6166902756,-
2025-11-21,3715,定穎投控,123.0,4783265265,19000000,8407932046,-
2025-11-21,4722,國精化,160.5,817459171,3500000,593969923,-
2025-11-21,5425,台半,58.3,504615655,2000000,621514554,-
2025-11-25,3163,波若威,241.0,1621873371,6500000,2197719152,-
2025-11-25,5314,世紀*,101.5,1135173396,4500000,1194896745,-
2025-11-25,6209,今國光,59.2,664405268,2500000,1241936657,-
2025-11-27,4722,國精化,158.0,584982113,2500000,986262927,-
2025-11-28,4979,華星光,224.0,2368724237,9500000,12146647494,-
2025-11-28,4722,國精化,171.0,564580697,2500000,896163841,-
2025-12-02,3211,順達,277.5,1176596279,4500000,3724325639,-
2025-12-04,3715,定穎投控,114.5,6045099600,24000000,9607154682,-
2025-12-05,8054,,154.0,1158797679,4500000,3356024493,-
2025-12-08,3037,欣興,215.0,6209350964,25000000,16961287903,-
2025-12-10,3167,大量,234.5,2965063006,12000000,8651158326,-
