date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2025-07-11,4991,環宇-KY,156.5,4405629481,18000000,8625856805,-
2025-07-11,3167,大量,140.5,2740301022,11000000,4277471901,-
2025-07-14,3535,晶彩科,60.9,594639331,2500000,771953473,-
2025-07-15,5314,世紀*,70.7,515791413,2000000,5420602637,-
2025-07-16,3037,欣興,132.0,3905686828,16000000,12329661568,-
2025-07-16,1815,富喬,41.6,1766475664,7000000,6317009920,-
2025-07-16,8046,南電,157.5,1439584023,6000000,3855138568,-
2025-07-16,2455,全新,139.0,842806259,3500000,2790145742,-
2025-07-16,3189,景碩,99.2,720212629,3000000,5307064355,-
2025-07-17,8046,南電,173.0,1620859368,6500000,14643393102,-
2025-07-18,8358,金居,81.7,1462333940,6000000,6352916885,-
2025-07-18,6488,環球晶,354.5,683327494,2500000,2879712955,-
2025-07-18,5483,中美晶,109.5,557217011,2000000,2824838037,-
2025-07-21,3376,新日興,235.5,3078942059,12000000,5159931060,-
2025-07-21,6442,光聖,492.5,978894913,4000000,2572399947,-
2025-07-22,6442,光聖,541.0,1017185248,4000000,6456230288,-
2025-07-22,3044,健鼎,272.5,999129062,4000000,3098590531,-
2025-07-22,6462,神盾,140.0,720617355,3000000,2170333578,-
2025-07-22,5284,jpp-KY,228.0,527306185,2000000,1002886774,-
2025-07-23,6191,精成科,104.5,3345947222,13000000,7270240014,-
2025-07-24,3032,偉訓,109.0,806407385,3000000,1552711226,-
2025-07-24,2316,楠梓電,71.3,621316955,2500000,1942168044,-
2025-07-24,1303,南亞,31.65,587611198,2500000,1400856839,-
2025-07-25,5439,高技,248.5,2302285486,9000000,3978951643,-
2025-07-28,2455,全新,146.5,911994831,3500000,4975552758,-
2025-07-29,8358,金居,107.0,3658184765,15000000,5391505799,-
2025-07-29,8021,尖點,57.7,1478791228,6000000,2578213361,-
2025-07-29,1303,南亞,37.0,754312997,3000000,5635030477,-
2025-07-30,8033,雷虎,86.7,950205325,4000000,4695701674,-
2025-07-31,8033,雷虎,95.3,1182449367,4500000,10896337893,-
2025-07-31,1301,台塑,42.65,910384311,3500000,2676362648,-
2025-07-31,8234,新漢,104.0,737970461,3000000,2462570851,-
2025-07-31,5371,中光電,79.0,521926550,2000000,3192365771,-
2025-08-01,1815,富喬,54.6,5810705753,23000000,11000083363,-
2025-08-01,8021,尖點,63.2,1779689583,7000000,2894896326,-
2025-08-01,3081,聯亞,410.0,1398174477,5500000,2877674731,-
2025-08-01,1802,台玻,23.9,1188247036,5000000,4012028722,-
2025-08-01,6531,愛普*,330.5,768607929,3000000,3156102593,-
2025-08-04,3167,大量,187.0,4738899764,19000000,7506489560,-
2025-08-04,2360,致茂,473.5,1084026523,4500000,2357967020,-
2025-08-04,4916,事欣科,60.5,634309358,2500000,2873963559,-
2025-08-04,8028,昇陽半導體,140.5,562356555,2000000,1961616071,-
2025-08-05,3019,亞光,151.0,788856909,3000000,7775965305,-
2025-08-05,8028,昇陽半導體,154.5,591533237,2500000,5718283417,-
2025-08-06,2301,光寶科,133.5,1539762220,6000000,7813446556,-
2025-08-06,2374,佳能,67.7,884617509,3500000,2562482448,-
2025-08-07,4931,新盛力,128.5,3217599083,13000000,5340368272,-
2025-08-07,3715,定穎投控,92.4,2903206148,12000000,4745572921,-
2025-08-07,4991,環宇-KY,168.5,2792209611,11000000,4330944428,-
2025-08-08,4931,新盛力,141.0,3258848314,13000000,10226147306,-
2025-08-08,8021,尖點,78.1,2480379253,10000000,3920832309,-
2025-08-08,2404,漢唐,910.0,2034979015,8000000,2253774341,-
2025-08-08,4971,IET-KY,171.5,1296820850,5000000,1761315830,-
2025-08-08,6488,環球晶,375.0,1118843240,4500000,1477312875,-
2025-08-08,6667,信紘科,275.0,576919733,2500000,1472025370,-
2025-08-08,5536,聖暉*,543.0,544103101,2000000,723173924,-
2025-08-08,6196,帆宣,220.5,542179904,2000000,933552413,-
2025-08-11,8358,金居,125.0,6425993069,26000000,4958812609,-
2025-08-11,2368,金像電,409.0,3734070672,15000000,7400928057,-
2025-08-11,2449,京元電子,133.5,3039770741,12000000,13032622745,-
2025-08-11,6215,和椿,133.5,1858876255,7500000,4582307449,-
2025-08-11,2374,佳能,74.1,1416786833,5500000,5592489372,-
2025-08-11,8210,勤誠,583.0,929427787,3500000,3658642950,-
2025-08-12,1815,富喬,61.4,8143063876,33000000,9132233593,-
2025-08-12,6213,聯茂,99.0,1699053241,7000000,2828526202,-
2025-08-12,4958,臻鼎-KY,141.5,1362546327,5500000,4510854729,-
2025-08-12,8996,,339.5,1230429970,5000000,4275109512,-
2025-08-12,2354,鴻準,76.3,956133677,4000000,6828984560,-
2025-08-12,2645,長榮航太,166.0,953269284,4000000,3428817648,-
2025-08-12,2630,亞航,51.7,520566803,2000000,918432544,-
2025-08-12,3689,湧德,111.5,501617353,2000000,2024123059,-
2025-08-13,1815,富喬,67.5,8478872752,34000000,19253342862,-
2025-08-13,1802,台玻,27.15,2299633295,9000000,7205188581,-
