date,group,rank,stock_id,change_0905,is_limit_up
2025-08-05,IC封測,2,2449,2.13,False
2025-08-05,IC封測,3,6261,0.96,False
2025-08-05,IC封測,4,3711,0.68,False
2025-08-05,IC封測,5,6257,0.63,False
2025-08-05,IC設計,1,6231,10.0,True
2025-08-05,IC設計,2,6129,8.5,False
2025-08-05,IC設計,3,5468,7.48,False
2025-08-05,IC設計,4,6708,7.19,False
2025-08-05,IC設計,5,5302,6.28,False
2025-08-05,ODM,1,3706,3.0,False
2025-08-05,ODM,2,3231,2.51,False
2025-08-05,ODM,3,6669,2.08,False
2025-08-05,ODM,4,2317,1.67,False
2025-08-05,ODM,5,2356,1.26,False
2025-08-05,PCB 設備,1,2493,6.22,False
2025-08-05,PCB 設備,2,6438,2.23,False
2025-08-05,PCB 設備,3,1595,2.05,False
2025-08-05,PCB 設備,4,6658,1.67,False
2025-08-05,PCB 設備,5,3498,1.3,False
2025-08-05,不鏽鋼,1,1584,1.26,False
2025-08-05,不鏽鋼,2,2030,1.04,False
2025-08-05,不鏽鋼,3,2032,0.69,False
2025-08-05,不鏽鋼,4,1605,0.47,False
2025-08-05,不鏽鋼,5,5009,0.42,False
2025-08-05,低軌衛星,1,2313,1.53,False
2025-08-05,低軌衛星,2,2367,1.44,False
2025-08-05,低軌衛星,3,6285,1.21,False
2025-08-05,低軌衛星,4,6271,0.97,False
2025-08-05,低軌衛星,5,3491,0.88,False
2025-08-05,保健品,1,4128,4.82,False
2025-08-05,保健品,2,3205,2.2,False
2025-08-05,保健品,3,1295,1.31,False
2025-08-05,保健品,4,3705,0.64,False
2025-08-05,保健品,5,4120,0.56,False
2025-08-05,光學鏡頭指標,1,2374,8.12,False
2025-08-05,光學鏡頭指標,2,6517,7.8,False
2025-08-05,光學鏡頭指標,3,6498,5.04,False
2025-08-05,光學鏡頭指標,4,3019,4.97,False
2025-08-05,光學鏡頭指標,5,3059,2.79,False
2025-08-05,光電,1,2374,8.12,False
2025-08-05,光電,2,3019,4.97,False
2025-08-05,光電,3,3059,2.79,False
2025-08-05,光電,4,3031,2.37,False
2025-08-05,光電,5,6176,1.84,False
2025-08-05,再生晶圓,1,8028,4.21,False
2025-08-05,再生晶圓,2,1560,1.13,False
2025-08-05,半導體設備,1,7734,2.81,False
2025-08-05,半導體設備,2,6895,2.51,False
2025-08-05,半導體設備,3,6196,2.01,False
2025-08-05,半導體設備,4,5443,1.58,False
2025-08-05,半導體設備,5,3583,1.57,False
2025-08-05,印刷電路板,1,3715,4.85,False
2025-08-05,印刷電路板,2,6213,3.4,False
2025-08-05,印刷電路板,3,6234,2.68,False
2025-08-05,印刷電路板,4,2368,2.62,False
2025-08-05,印刷電路板,5,5439,2.15,False
2025-08-05,塑膠,1,3294,2.19,False
2025-08-05,塑膠,2,1313,0.83,False
2025-08-05,塑膠,3,1303,0.66,False
2025-08-05,塑膠,4,1301,0.53,False
2025-08-05,塑膠,5,1304,0.49,False
2025-08-05,太陽能,1,4949,1.0,False
2025-08-05,太陽能,2,5483,0.98,False
2025-08-05,太陽能,3,6873,0.82,False
2025-08-05,太陽能,4,3691,0.8,False
2025-08-05,太陽能,5,6244,0.54,False
2025-08-05,家電,1,7642,6.82,False
2025-08-05,工具機,1,1590,2.78,False
2025-08-05,工具機,2,4513,1.84,False
2025-08-05,工具機,3,4562,1.63,False
2025-08-05,工具機,4,2049,1.43,False
2025-08-05,工具機,5,3484,0.42,False
2025-08-05,工業電腦,1,6160,3.16,False
2025-08-05,工業電腦,2,3416,2.66,False
2025-08-05,工業電腦,3,6166,1.78,False
2025-08-05,工業電腦,4,5258,1.62,False
2025-08-05,工業電腦,5,6928,1.54,False
2025-08-05,廠務,1,5536,1.56,False
2025-08-05,廠務,2,6139,0.92,False
2025-08-05,廠務,3,2404,0.85,False
2025-08-05,廠務,4,6667,0.81,False
2025-08-05,廠務,5,6691,0.71,False
2025-08-05,探針卡,1,6510,2.18,False
2025-08-05,探針卡,2,6223,2.11,False
2025-08-05,探針卡,3,6515,1.4,False
2025-08-05,探針卡,4,6217,0.0,False
2025-08-05,探針卡,5,6683,-4.95,False
2025-08-05,散熱,1,2421,6.58,False
2025-08-05,散熱,2,3017,6.1,False
2025-08-05,散熱,3,6805,3.77,False
2025-08-05,散熱,4,3483,3.48,False
2025-08-05,散熱,5,3324,3.3,False
2025-08-05,晶圓代工,1,5347,0.95,False
2025-08-05,晶圓代工,2,2330,0.88,False
2025-08-05,晶圓代工,3,2303,0.49,False
2025-08-05,板卡,1,2465,1.23,False
2025-08-05,板卡,2,2376,1.1,False
2025-08-05,板卡,3,2377,1.02,False
2025-08-05,板卡,4,2425,0.85,False
2025-08-05,板卡,5,3515,0.53,False
2025-08-05,模具沖壓,1,1569,5.99,False
2025-08-05,模具沖壓,2,3230,4.63,False
2025-08-05,模具沖壓,3,8071,3.09,False
2025-08-05,模具沖壓,4,5284,2.16,False
2025-08-05,模具沖壓,5,5243,0.76,False
2025-08-05,機器人,1,4555,5.3,False
2025-08-05,機器人,2,3019,4.97,False
2025-08-05,機器人,3,5392,3.41,False
2025-08-05,機器人,4,1590,2.78,False
2025-08-05,機器人,5,2365,2.75,False
2025-08-05,機械零組件,1,2067,7.35,False
2025-08-05,機械零組件,2,6982,1.06,False
2025-08-05,機械零組件,3,4532,1.04,False
2025-08-05,機殼,1,2354,3.03,False
2025-08-05,機殼,2,6276,1.69,False
2025-08-05,機殼,3,3693,1.56,False
2025-08-05,機殼,4,3013,1.18,False
2025-08-05,機殼,5,8210,1.05,False
2025-08-05,滑軌,1,6584,5.26,False
2025-08-05,滑軌,2,2059,4.23,False
2025-08-05,營建,1,2597,2.09,False
2025-08-05,營建,2,6179,1.6,False
2025-08-05,營建,3,5531,1.0,False
2025-08-05,營建,4,2547,0.88,False
2025-08-05,營建,5,2535,0.65,False
2025-08-05,特化,1,4768,2.27,False
2025-08-05,特化,2,4772,2.05,False
2025-08-05,特化,3,5234,1.42,False
2025-08-05,特化,4,4749,1.11,False
2025-08-05,特化,5,1717,0.72,False
2025-08-05,玻纖布,1,1815,4.34,False
2025-08-05,玻纖布,2,5475,2.86,False
2025-08-05,玻纖布,3,1802,1.65,False
2025-08-05,玻纖布,4,5340,1.03,False
2025-08-05,玻纖布,5,1809,0.92,False
2025-08-05,生技醫療,1,4743,7.81,False
2025-08-05,生技醫療,2,4128,4.82,False
2025-08-05,生技醫療,3,4174,3.59,False
2025-08-05,生技醫療,4,3205,2.2,False
2025-08-05,生技醫療,5,6617,2.05,False
2025-08-05,生物製劑,1,6949,9.87,True
2025-08-05,生物製劑,2,4174,3.59,False
2025-08-05,生物製劑,3,6541,1.56,False
2025-08-05,生物製劑,4,6446,1.3,False
2025-08-05,生物製劑,5,4133,0.7,False
2025-08-05,產業機械,1,1580,1.02,False
2025-08-05,產業機械,2,6603,0.93,False
2025-08-05,產業機械,3,3379,0.82,False
2025-08-05,產業機械,4,1528,-1.76,False
2025-08-05,砷化鎵,1,8086,3.4,False
2025-08-05,砷化鎵,2,3105,1.99,False
2025-08-05,砷化鎵,3,2455,1.7,False
2025-08-05,筆記型電腦,1,2364,0.96,False
2025-08-05,筆記型電腦,2,2362,0.89,False
2025-08-05,筆記型電腦,3,2357,0.6,False
2025-08-05,筆記型電腦,4,2353,0.31,False
2025-08-05,網路通訊,1,3596,3.28,False
2025-08-05,網路通訊,2,6863,2.26,False
2025-08-05,網路通訊,3,3062,1.65,False
2025-08-05,網路通訊,4,6285,1.21,False
2025-08-05,網路通訊,5,3558,1.15,False
2025-08-05,航空,1,2618,0.39,False
2025-08-05,航空,2,2646,0.39,False
2025-08-05,航空,3,2610,0.24,False
2025-08-05,航空,4,6757,0.12,False
2025-08-05,螺絲螺帽,1,1591,0.97,False
2025-08-05,螺絲螺帽,2,2017,0.42,False
2025-08-05,螺絲螺帽,3,8349,0.19,False
2025-08-05,螺絲螺帽,4,2022,0.0,False
2025-08-05,螺絲螺帽,5,3004,-0.78,False
2025-08-05,被動元件,1,2327,3.55,False
2025-08-05,被動元件,2,8043,2.66,False
2025-08-05,被動元件,3,2492,2.47,False
2025-08-05,被動元件,4,4760,2.26,False
2025-08-05,被動元件,5,3357,2.06,False
2025-08-05,記憶體,1,4768,2.27,False
2025-08-05,記憶體,2,2408,1.71,False
2025-08-05,記憶體,3,2337,1.36,False
2025-08-05,記憶體,4,8299,1.33,False
2025-08-05,記憶體,5,2344,1.15,False
2025-08-05,設備儀器商,1,6739,5.4,False
2025-08-05,設備儀器商,2,2070,5.11,False
2025-08-05,設備儀器商,3,6234,2.68,False
2025-08-05,設備儀器商,4,6698,1.12,False
2025-08-05,設備儀器商,5,6125,1.07,False
2025-08-05,設計IP,1,3529,3.27,False
2025-08-05,設計IP,2,8227,3.25,False
2025-08-05,設計IP,3,3443,2.4,False
2025-08-05,設計IP,4,6533,1.8,False
2025-08-05,設計IP,5,6462,1.57,False
2025-08-05,貨櫃,1,2603,0.76,False
2025-08-05,貨櫃,2,2609,0.66,False
2025-08-05,貨櫃,3,2615,0.34,False
2025-08-05,車用零組件,1,1587,4.78,False
2025-08-05,車用零組件,2,2250,3.63,False
2025-08-05,車用零組件,3,5392,3.41,False
2025-08-05,車用零組件,4,3162,2.0,False
2025-08-05,車用零組件,5,4551,1.77,False
2025-08-05,車用電子,1,3227,1.75,False
2025-08-05,車用電子,2,3552,1.56,False
2025-08-05,車用電子,3,4915,1.37,False
2025-08-05,車用電子,4,4919,0.92,False
2025-08-05,車用電子,5,2312,0.54,False
2025-08-05,軍工,1,6517,7.8,False
2025-08-05,軍工,2,1810,4.4,False
2025-08-05,軍工,3,7402,2.66,False
2025-08-05,軍工,4,6895,2.51,False
2025-08-05,軍工,5,5284,2.16,False
2025-08-05,軟體,1,5209,7.85,False
2025-08-05,軟體,2,6925,3.73,False
2025-08-05,軟體,3,2427,2.62,False
2025-08-05,軟體,4,6112,2.39,False
2025-08-05,軟體,5,8099,2.29,False
2025-08-05,軸承,1,6805,3.77,False
2025-08-05,軸承,2,3376,1.09,False
2025-08-05,軸承,3,1582,-0.55,False
2025-08-05,連接器,1,3322,6.59,False
2025-08-05,連接器,2,6418,3.07,False
2025-08-05,連接器,3,6197,2.86,False
2025-08-05,連接器,4,6126,2.15,False
2025-08-05,連接器,5,3710,2.03,False
2025-08-05,連接線材,1,6133,7.1,False
2025-08-05,連接線材,2,3322,6.59,False
2025-08-05,連接線材,3,6418,3.07,False
2025-08-05,連接線材,4,3665,2.59,False
2025-08-05,連接線材,5,6220,1.95,False
2025-08-05,遊戲產業,1,3293,1.27,False
2025-08-05,遊戲產業,2,6111,1.01,False
2025-08-05,遊戲產業,3,6180,0.93,False
2025-08-05,遊戲產業,4,4916,0.84,False
2025-08-05,遊戲產業,5,4994,0.54,False
2025-08-05,重電,1,5381,4.77,False
2025-08-05,重電,2,8038,2.24,False
2025-08-05,重電,3,1519,1.71,False
2025-08-05,重電,4,8937,1.3,False
2025-08-05,重電,5,2371,1.05,False
2025-08-05,金控,1,2892,0.5,False
2025-08-05,金控,2,2884,0.46,False
2025-08-05,金控,3,2889,0.34,False
2025-08-05,金控,4,2885,0.31,False
2025-08-05,金控,5,2887,0.3,False
2025-08-05,鋼鐵,1,2030,1.04,False
2025-08-05,鋼鐵,2,2211,0.85,False
2025-08-05,鋼鐵,3,2032,0.69,False
2025-08-05,鋼鐵,4,2014,0.67,False
2025-08-05,鋼鐵,5,2002,0.52,False
2025-08-05,鑽孔,1,4577,9.88,True
2025-08-05,鑽孔,2,6234,2.68,False
