date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount
2025-06-30,6191,精成科,88.6,1991392166.2,8000000,5424839935.0
2025-07-02,3297,杭特,58.7,647650365.0,2500000,790999676.0
2025-07-02,4931,新盛力,105.5,1920914428.7,7500000,2432631084.0
2025-07-02,4991,環宇-KY,119.5,2377701862.3,9500000,2187009676.0
2025-07-03,3167,大量,138.0,2861525956.05,11000000,2063474524.0
2025-07-03,8932,,141.0,845457600.5,3500000,2021175914.0
2025-07-03,9904,,35.05,736218145.6,3000000,3202879391.0
2025-07-04,3297,杭特,66.1,821554925.3,3500000,3245604523.0
2025-07-07,4991,環宇-KY,143.0,3084168058.1,12000000,7830238757.0
2025-07-08,3128,昇銳,50.2,629416438.55,2500000,1581048672.0
2025-07-10,3081,聯亞,348.0,1236451647.7,5000000,1903321404.0
2025-07-10,4971,IET-KY,156.0,608916880.15,2500000,1785038147.0
2025-07-10,6640,均華,754.0,860521888.0,3500000,1684365469.0
2025-07-10,8046,南電,139.0,716068728.1,3000000,3601944109.0
2025-07-11,3167,大量,140.5,2740301022.2,11000000,4277471901.0
2025-07-11,4991,環宇-KY,156.5,4405629481.95,18000000,8625856805.0
2025-07-14,3535,晶彩科,60.9,594639331.35,2500000,771953473.0
2025-07-15,5314,世紀*,70.7,515791413.4,2000000,5420602637.0
2025-07-16,1815,富喬,41.6,1766475664.4,7000000,6317009920.0
2025-07-16,2455,全新,139.0,842806259.5,3500000,2790145742.0
2025-07-16,3037,欣興,132.0,3905686828.4,16000000,12329661568.0
2025-07-16,3189,景碩,99.2,720212629.15,3000000,5307064355.0
2025-07-16,8046,南電,157.5,1439584023.85,6000000,3855138568.0
2025-07-17,8046,南電,173.0,1620859368.25,6500000,14643393102.0
2025-07-18,5483,中美晶,109.5,557217011.1,2000000,2824838037.0
2025-07-18,6488,環球晶,354.5,683327494.2,2500000,2879712955.0
2025-07-18,8358,金居,81.7,1462333940.2,6000000,6352916885.0
2025-07-21,3376,新日興,235.5,3078942059.75,12000000,5159931060.0
2025-07-21,6442,光聖,492.5,978894913.15,4000000,2572399947.0
2025-07-22,3044,健鼎,272.5,999129062.25,4000000,3098590531.0
