日期,代碼,名稱,成交金額
2025-04-10,2449,京元電子,245435884.0
2025-04-10,3653,健策,1471838025.0
2025-04-10,2637,慧洋-KY,660544774.0
2025-04-10,6148,驊宏資,604496294.0
2025-04-10,2883,凱基金,537398674.0
2025-04-10,3533,嘉澤,614734890.0
2025-04-10,5269,祥碩,798473765.0
2025-04-10,2615,萬海,159498490.0
2025-04-10,2543,皇昌,150809826.0
2025-04-10,6558,興能高,26776775.0
2025-04-10,3563,牧德,166659229.0
2025-04-10,2453,凌群,22390262.0
2025-04-10,2301,光寶科,262760685.0
2025-04-10,3081,聯亞,1200692087.0
2025-04-10,6239,力成,317419551.0
2025-04-10,3260,威剛,79969271.0
2025-04-10,8069,元太,666127994.0
2025-04-10,1301,台塑,299112488.0
2025-04-10,1590,亞德客-KY,1436228352.0
2025-04-10,3078,僑威,99983934.0
2025-04-10,8028,昇陽半導體,171787004.0
2025-04-10,6442,光聖,547336006.0
2025-04-10,2885,元大金,469113870.0
2025-04-10,6415,矽力*-KY,1527459569.0
2025-04-10,6446,藥華藥,404344570.0
2025-04-10,2376,技嘉,296670195.0
2025-04-10,2324,仁寶,550734122.0
2025-04-10,6274,台燿,1226815578.0
2025-04-10,3363,上詮,439425912.0
2025-04-10,6472,,313801949.0
2025-04-10,2002,中鋼,311338769.0
2025-04-10,6829,千附精密,66285798.0
2025-04-10,5871,,802075469.0
2025-04-10,2385,群光,289954420.0
2025-04-10,3029,零壹,72765392.0
2025-04-10,4583,台灣精銳,280089376.0
2025-04-10,3706,神達,195942731.0
2025-04-10,1316,上曜,158733880.0
2025-04-10,6488,環球晶,196085251.0
2025-04-10,1513,中興電,166883301.0
2025-04-10,1319,東陽,244764500.0
2025-04-10,6227,茂綸,145691466.0
2025-04-10,2890,永豐金,739087948.0
2025-04-10,6117,迎廣,37601187.0
2025-04-10,2371,大同,183151057.0
2025-04-10,6139,亞翔,103399787.0
2025-04-10,2888,,2583478908.0
2025-04-10,2356,英業達,175549238.0
2025-04-10,2486,一詮,410152831.0
2025-04-10,2377,微星,862669646.0
2025-04-10,6285,啟碁,98090531.0
2025-04-10,3162,精確,36638114.0
2025-04-10,2887,台新新光金,990334099.0
2025-04-10,3227,原相,194678582.0
2025-04-10,4958,臻鼎-KY,133863351.0
2025-04-10,8234,新漢,77203987.0
2025-04-10,2337,旺宏,67369357.0
2025-04-10,3131,弘塑,49613312.0
2025-04-10,7402,邑錡,99163797.0
2025-04-10,6753,龍德造船,36717553.0
2025-04-10,6877,鏵友益,26331100.0
2025-04-10,5347,世界,82985499.0
2025-04-10,6206,飛捷,51064674.0
2025-04-10,3323,加百裕,124431735.0
2025-04-10,2354,鴻準,92384785.0
2025-04-10,2360,致茂,50765678.0
2025-04-10,2359,所羅門,289021723.0
2025-04-10,4510,高鋒,100494227.0
2025-04-10,6757,台灣虎航,276344799.0
2025-04-10,3022,威強電,51833522.0
2025-04-10,4977,眾達-KY,166102163.0
2025-04-10,3013,晟銘電,454616803.0
2025-04-10,2474,可成,169426591.0
2025-04-10,6191,精成科,96216315.0
2025-04-10,1477,聚陽,1388300582.0
2025-04-10,3264,欣銓,40831098.0
2025-04-10,3312,弘憶股,54639936.0
2025-04-10,6140,訊達,20646073.0
2025-04-10,8033,雷虎,42048515.0
2025-04-10,3605,宏致,181664370.0
2025-04-10,2409,友達,150883035.0
2025-04-10,2395,研華,527301920.0
2025-04-10,4749,新應材,47414965.0
2025-04-10,2455,全新,524290470.0
2025-04-10,6215,和椿,78348389.0
2025-04-10,5309,系統電,43433242.0
2025-04-10,4938,和碩,152171357.0
2025-04-10,9958,世紀鋼,291665611.0
2025-04-10,2009,第一銅,71854003.0
2025-04-10,1303,南亞,236545690.0
2025-04-10,6187,萬潤,73229897.0
2025-04-10,4971,IET-KY,9428384.0
2025-04-10,1326,台化,351414119.0
2025-04-10,1605,華新,390903181.0
2025-04-10,6438,迅得,973139595.0
2025-04-10,1785,光洋科,547376542.0
2025-04-10,3032,偉訓,62329575.0
2025-04-10,2610,華航,149190783.0
2025-04-10,1514,亞力,181341280.0
2025-04-10,2421,建準,75780773.0
2025-04-10,5371,中光電,110047085.0
2025-04-10,8155,博智,69136085.0
2025-04-10,3596,智易,77100889.0
2025-04-10,9904,,118592936.0
2025-04-10,5388,中磊,581530452.0
2025-04-10,3105,穩懋,489251219.0
2025-04-10,2353,宏碁,238869177.0
2025-04-10,5483,中美晶,130313353.0
2025-04-10,4772,台特化,32168139.0
2025-04-10,6409,旭隼,173836085.0
2025-04-10,3044,健鼎,86947567.0
2025-04-10,6962,奕力-KY,24210574.0
2025-04-10,3406,玉晶光,101260253.0
2025-04-10,6890,,342529696.0
2025-04-10,3680,家登,291216915.0
2025-04-10,4916,事欣科,34584890.0
2025-04-10,1736,喬山,113463613.0
2025-04-10,3147,大綜,34304633.0
2025-04-10,9945,潤泰新,86643544.0
2025-04-10,1795,美時,114899107.0
2025-04-10,2313,華通,807275300.0
2025-04-10,3023,信邦,307038545.0
2025-04-10,3379,彬台,27916645.0
