date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount,is_disposal
2025-12-16,3229,晟鈦,26.4,7725914,1000000,43110272,-
2025-12-16,8935,,20.4,6338376,1000000,34435829,-
2025-12-16,6243,迅杰,36.9,5444792,1000000,39202321,-
2025-12-16,6205,詮欣,40.8,4426988,1000000,28229473,-
2025-12-16,6568,宏觀,112.5,4054098,1000000,36879416,-
2025-12-16,4168,醣聯,23.65,2772790,1000000,19941577,-
2025-12-16,3322,建舜電,15.15,2680121,1000000,53900767,-
2025-12-16,4414,如興,11.8,2506909,1000000,28812565,-
2025-12-16,3499,環天科,15.95,2059791,1000000,8684378,-
2025-12-16,3073,天方能源,33.65,1897039,1000000,7172416,-
2025-12-16,2440,太空梭,14.3,1650324,1000000,18801301,-
2025-12-16,6164,華興,11.0,1344347,1000000,31103497,-
2025-12-16,3467,台灣精材,41.35,795377,1000000,3509673,-
2025-12-16,8444,綠河-KY,13.05,562031,1000000,1749040,-
2025-12-16,6465,,37.4,0,1000000,57082851,-
2025-12-17,8074,鉅橡,42.6,254499812,1000000,969038571,-
2025-12-17,6903,巨漢,220.5,111098685,1000000,1000436192,-
2025-12-17,6244,茂迪,22.4,54655686,1000000,284181439,-
2025-12-17,5381,合正,26.45,33677028,1000000,299106151,-
2025-12-17,4909,新復興,50.0,29402004,1000000,244609300,-
2025-12-17,6550,北極星藥業-KY,33.05,20266277,1000000,84660522,-
2025-12-17,3047,訊舟,19.85,17735861,1000000,133366290,-
2025-12-17,8467,波力-KY,164.0,11496985,1000000,50770759,-
2025-12-17,8089,康全電訊,32.25,10252807,1000000,80663054,-
2025-12-17,3229,晟鈦,29.0,9847886,1000000,43920324,-
2025-12-17,3138,耀登,105.0,7931472,1000000,160805168,-
2025-12-17,3011,今皓,14.7,5029332,1000000,73500645,-
2025-12-17,1611,中電,13.4,4493748,1000000,57912980,-
2025-12-17,6152,,10.55,4102372,1000000,63809133,-
2025-12-17,6164,華興,12.1,2787516,1000000,74033954,-
2025-12-17,2440,太空梭,15.7,2514094,1000000,55561521,-
2025-12-17,3073,天方能源,37.0,2075464,1000000,24551078,-
2025-12-17,2444,兆勁,11.95,1859166,1000000,9370018,-
2025-12-17,3684,榮昌,53.1,1558094,1000000,7608847,-
2025-12-17,3178,公準,52.6,1380722,1000000,6970030,-
2025-12-17,3467,台灣精材,45.45,911556,1000000,9064835,-
2025-12-17,4806,桂田文創,11.0,476402,1000000,1356137,-
2025-12-17,6916,華凌,19.4,299380,1000000,12315894,-
2025-12-18,6155,鈞寶,45.3,198756448,1000000,363403179,-
2025-12-18,8390,金益鼎,97.4,197823675,1000000,276480809,-
2025-12-18,4764,雙鍵,107.5,192948349,1000000,612514188,-
2025-12-18,3707,漢磊,52.8,119934773,1000000,438384559,-
2025-12-18,6182,合晶,31.5,92271504,1000000,708730581,-
2025-12-18,5522,遠雄,71.8,86360011,1000000,674367905,-
2025-12-18,3016,嘉晶,54.6,47321132,1000000,451622786,-
2025-12-18,3152,璟德,142.0,37290138,1000000,241235008,-
2025-12-18,2468,華經,44.25,24083778,1000000,46958883,-
2025-12-18,6148,驊宏資,44.0,20604605,1000000,84016386,-
2025-12-18,6823,,84.9,11042165,1000000,51318107,-
2025-12-18,6568,宏觀,128.0,10949029,1000000,79335288,-
2025-12-18,6164,華興,13.3,6406584,1000000,56870968,-
2025-12-18,4569,六方科-KY,162.0,4801055,1000000,39819963,-
2025-12-18,3550,聯穎,13.8,4499921,1000000,22454909,-
2025-12-18,2424,,41.45,3679965,1000000,11038075,-
2025-12-18,3499,環天科,16.7,2716920,1000000,20143543,-
2025-12-18,3684,榮昌,58.4,1834466,1000000,36315048,-
2025-12-18,3178,公準,57.8,1667500,1000000,8413245,-
2025-12-18,3467,台灣精材,49.95,1291368,1000000,9182093,-
2025-12-18,5353,台林,26.95,1101736,1000000,11397875,-
2025-12-18,8906,花王,33.75,908971,1000000,5160542,-
2025-12-18,6916,華凌,21.3,881992,1000000,39424400,-
2025-12-18,7782,光速火箭,31.45,449934,1000000,5642199,-
2025-12-18,5450,,14.35,448276,1000000,9659414,-
2025-12-19,3060,銘異,34.95,404880682,1500000,747131226,-
2025-12-19,3323,加百裕,44.65,166541095,1000000,651607834,-
2025-12-19,6265,方土昶,21.7,156531734,1000000,431513283,-
2025-12-19,2201,裕隆,36.5,137337469,1000000,367876304,-
2025-12-19,6558,興能高,41.55,63772721,1000000,263834820,-
2025-12-19,3625,西勝,22.0,16641041,1000000,65801373,-
2025-12-19,3354,律勝,21.45,16452641,1000000,36045416,-
2025-12-19,4545,銘鈺,39.9,7231118,1000000,151048196,-
2025-12-19,3057,喬鼎,17.35,3738128,1000000,23020642,-
2025-12-19,1721,三晃,12.35,3691184,1000000,35064997,-
2025-12-22,4927,泰鼎-KY,34.55,304823900,1000000,1247547678,-
2025-12-22,1727,中華化,41.55,285325627,1000000,514918952,-
2025-12-22,4764,雙鍵,116.5,271778914,1000000,917185834,-
2025-12-22,3581,博磊,69.1,187306896,1000000,317090186,-
2025-12-22,2429,銘旺科,80.3,62072876,1000000,80032624,-
2025-12-22,3257,虹冠電,68.3,23752881,1000000,222623484,-
2025-12-22,6419,京晨科,74.8,13300304,1000000,37499386,-
2025-12-22,3057,喬鼎,19.05,4721938,1000000,37621049,-
2025-12-22,4729,,22.6,3434448,1000000,61807861,-
2025-12-22,6228,全譜,27.5,373030,1000000,2625394,-
2025-12-22,1735,日勝化,16.05,238677,1000000,5520187,-
2025-12-22,1538,正峰,26.25,163363,1000000,452425,-
2025-12-23,6163,華電網,51.8,373017365,1500000,226020555,-
2025-12-23,8086,宏捷科,113.5,253001614,1000000,860795712,-
2025-12-23,6271,同欣電,135.0,177343420,1000000,844764512,-
2025-12-23,6244,茂迪,21.1,177225589,1000000,324210081,-
2025-12-23,6125,廣運,72.7,121980917,1000000,304096174,-
2025-12-23,4909,新復興,51.8,119857342,1000000,354802867,-
2025-12-23,1587,吉茂,56.8,112428061,1000000,319248459,-
2025-12-23,3234,光環,47.45,96568964,1000000,259759321,-
2025-12-23,3152,璟德,146.0,71195919,1000000,249451904,-
2025-12-23,3701,大眾控,40.3,58109588,1000000,76496844,-
2025-12-23,6761,穩得,143.5,44905513,1000000,242416600,-
2025-12-23,3354,律勝,22.75,20486691,1000000,61842918,-
2025-12-23,4543,萬在,30.4,19828755,1000000,30972810,-
2025-12-23,6234,高僑,26.2,17347511,1000000,126541535,-
2025-12-23,6419,京晨科,82.2,15065140,1000000,23628495,-
2025-12-23,6152,,11.35,12593311,1000000,40016672,-
2025-12-23,5251,天鉞電,39.7,8431598,1000000,90020566,-
2025-12-23,3057,喬鼎,20.95,6455152,1000000,70201607,-
2025-12-23,6218,豪勉,23.9,4150016,1000000,61017039,-
2025-12-23,6909,創控,39.6,3437448,1000000,14460817,-
2025-12-23,5529,鉅陞,28.05,1535760,1000000,6482072,-
2025-12-23,1805,寶徠,11.95,813839,1000000,3676917,-
2025-12-23,1735,日勝化,17.65,498027,1000000,13619561,-
2025-12-23,6228,全譜,30.25,483980,1000000,8444461,-
2025-12-23,6831,,261.5,0,1000000,761298302,-
2025-12-24,6426,統新,107.0,377650478,1500000,889526448,-
2025-12-24,6163,華電網,56.9,365649515,1500000,1414267108,-
2025-12-24,1727,中華化,47.7,336951168,1500000,719283774,-
2025-12-24,2413,環科,37.0,325171575,1500000,433960515,-
2025-12-24,6127,九豪,37.25,305219733,1000000,885113497,-
2025-12-24,8431,,69.9,204468781,1000000,492658084,-
2025-12-24,6244,茂迪,23.2,192913434,1000000,546889161,-
2025-12-24,4909,新復興,56.9,136502938,1000000,951270590,-
2025-12-24,4585,達明,346.5,114182264,1000000,190231026,-
2025-12-24,3543,州巧,44.85,86048049,1000000,232707198,-
2025-12-24,3701,大眾控,44.3,61650818,1000000,463459865,-
2025-12-24,7610,聯友金屬-創,127.5,42475194,1000000,180709352,-
2025-12-24,3354,律勝,25.0,23527186,1000000,126238824,-
2025-12-24,6243,迅杰,38.7,16090258,1000000,103569653,-
2025-12-24,3444,利機,59.4,11799953,1000000,71599596,-
2025-12-24,6517,保勝光學,66.8,10393372,1000000,153394837,-
2025-12-24,6218,豪勉,26.25,7178074,1000000,114910595,-
2025-12-24,3339,泰谷,26.75,7163138,1000000,28961673,-
2025-12-24,3499,環天科,17.7,4744679,1000000,18220850,-
2025-12-24,1735,日勝化,19.4,1175516,1000000,31034958,-
2025-12-26,3006,晶豪科,96.4,482912426,2000000,3323502327,-
2025-12-26,3135,凌航,69.8,139680262,1000000,359164383,-
2025-12-26,3701,大眾控,48.7,84368115,1000000,601607797,-
2025-12-26,1528,恩德,18.25,65655282,1000000,650499911,-
2025-12-26,1784,訊聯,111.0,51994094,1000000,218841209,-
2025-12-26,3092,鴻碩,18.2,6809669,1000000,40159069,-
2025-12-26,6205,詮欣,44.0,6672363,1000000,60119711,-
2025-12-26,3499,環天科,19.45,5643847,1000000,32895376,-
2025-12-26,6405,悅城,28.85,3189437,1000000,64547669,-
2025-12-26,7730,,98.6,2109810,1000000,8005655,-
2025-12-26,6423,,80.3,1664625,1000000,7813651,-
2025-12-26,7777,,24.95,0,1000000,64944178,-
2025-12-29,2413,環科,42.55,381049309,1500000,964987564,-
2025-12-29,7751,竑騰,754.0,292552808,1000000,530381710,-
2025-12-29,6265,方土昶,24.2,255213398,1000000,210626480,-
2025-12-29,3135,凌航,76.7,151576347,1000000,150093534,-
2025-12-29,1528,恩德,20.05,94908989,1000000,338953196,-
2025-12-29,3354,律勝,28.35,38503063,1000000,108277419,-
2025-12-29,6873,泓德能源,111.0,38167545,1000000,141233869,-
2025-12-29,6485,點序,79.2,36401624,1000000,216563301,-
2025-12-29,6234,高僑,28.05,34681935,1000000,108973305,-
2025-12-29,6568,宏觀,129.5,32035221,1000000,130353283,-
2025-12-29,3444,利機,67.7,22418936,1000000,196776092,-
2025-12-29,2417,圓剛,38.9,11874051,1000000,120776915,-
2025-12-29,6205,詮欣,48.4,9427575,1000000,19351422,-
2025-12-29,6658,聯策,54.8,9190347,1000000,60907407,-
2025-12-29,3684,榮昌,67.6,8892799,1000000,44334168,-
2025-12-29,3092,鴻碩,20.0,8547002,1000000,37222600,-
2025-12-29,8068,全達,22.1,8215730,1000000,37100724,-
2025-12-29,6560,欣普羅,43.0,4012077,1000000,35458023,-
2025-12-29,6461,益得,16.15,1353448,1000000,16296132,-
2025-12-29,3669,,32.1,1050046,1000000,25405014,-
2025-12-29,4304,勝昱,32.1,821148,1000000,11037728,-
2025-12-29,3664,,18.05,436033,1000000,7209165,-
2025-12-29,3523,迎輝,18.95,73899,1000000,2122513,-
2025-12-30,8027,鈦昇,112.0,440126816,2000000,414740529,-
2025-12-30,2413,環科,46.8,422637836,1500000,1787014036,-
2025-12-30,5475,德宏,102.0,307052936,1000000,1028462798,-
2025-12-30,6265,方土昶,26.6,263173920,1000000,455813811,-
2025-12-30,1528,恩德,22.05,110582716,1000000,840231961,-
2025-12-30,3530,晶相光,77.5,82399491,1000000,211659775,-
2025-12-30,7610,聯友金屬-創,144.5,62932076,1000000,150126082,-
2025-12-30,3354,律勝,31.15,43689091,1000000,221399158,-
2025-12-30,3663,鑫科,57.6,40226889,1000000,512294158,-
2025-12-30,6234,高僑,30.85,39879005,1000000,410672196,-
2025-12-30,1721,三晃,15.3,16038671,1000000,85739828,-
2025-12-30,5452,佶優,26.7,12059459,1000000,75826857,-
2025-12-30,6658,聯策,60.2,12058338,1000000,243103357,-
2025-12-30,2497,怡利電,54.9,11170829,1000000,133031655,-
2025-12-30,3092,鴻碩,22.0,10308118,1000000,47034446,-
2025-12-30,6205,詮欣,53.2,10278541,1000000,25332980,-
2025-12-30,8068,全達,24.3,9987008,1000000,14883345,-
2025-12-30,6233,旺玖,24.0,5008769,1000000,30436125,-
2025-12-30,8240,華宏,36.95,4771410,1000000,60192295,-
2025-12-30,6698,旭暉應材,31.35,3203109,1000000,24751682,-
2025-12-30,8438,昶昕,34.65,2102125,1000000,72213578,-
2025-12-30,3054,立萬利,30.5,1394403,1000000,10213928,-
2025-12-30,4304,勝昱,35.3,1318677,1000000,7557886,-
2025-12-30,6248,沛波,20.7,1145595,1000000,29280095,-
2025-12-30,6124,業強,27.35,495459,1000000,5548431,-
2025-12-30,6708,天擎,40.7,335092,1000000,3879760,-
2025-12-30,4406,新昕纖,10.65,189044,1000000,2978351,-
2025-12-30,2024,志聯,17.05,78083,1000000,1583922,-
2025-12-30,3593,,12.75,0,1000000,1579512,-
2025-12-31,5351,鈺創,49.05,419635929,1500000,2552686262,-
2025-12-31,6265,方土昶,29.25,283010713,1000000,864993608,-
2025-12-31,3135,凌航,84.8,189004330,1000000,394059204,-
2025-12-31,7728,光焱科技,502.0,104307978,1000000,207108302,-
2025-12-31,3455,由田,102.5,55168141,1000000,151550028,-
2025-12-31,6568,宏觀,135.5,42797889,1000000,175728570,-
2025-12-31,3219,倚強科,69.0,39741206,1000000,150311809,-
2025-12-31,1721,三晃,16.8,20204599,1000000,112695005,-
2025-12-31,3550,聯穎,15.75,14719662,1000000,46094505,-
2025-12-31,3092,鴻碩,24.2,12481071,1000000,127559287,-
2025-12-31,6205,詮欣,58.5,11447824,1000000,153156403,-
2025-12-31,8068,全達,26.7,10619685,1000000,149539537,-
2025-12-31,3499,環天科,21.35,9904864,1000000,54142357,-
2025-12-31,3178,公準,63.0,9866094,1000000,44330685,-
2025-12-31,6965,,91.6,6645060,1000000,41611761,-
2025-12-31,8438,昶昕,38.1,5546760,1000000,62156029,-
2025-12-31,3521,鴻翊,14.5,4512057,1000000,4742520,-
2025-12-31,1595,川寶,44.9,4134155,1000000,60074968,-
2025-12-31,3308,聯德,18.3,830076,1000000,17506912,-
2025-12-31,1599,宏佳騰,30.35,762657,1000000,9467536,-
2025-12-31,6236,,21.55,6214,1000000,21550,-
2025-12-31,8102,,60.3,0,1000000,7308994,-
2026-01-02,6903,巨漢,237.0,405693291,1500000,779960353,-
2026-01-02,6265,方土昶,32.15,320152227,1500000,888670670,-
2026-01-02,3624,光頡,58.4,299627327,1000000,957327047,-
2026-01-02,7728,光焱科技,552.0,105234209,1000000,67906016,-
2026-01-02,3402,漢科,134.5,76489609,1000000,758128032,-
2026-01-02,3455,由田,112.5,59761061,1000000,865617119,-
2026-01-02,3219,倚強科,75.9,46845452,1000000,354891010,-
2026-01-02,7734,印能科技,957.0,34125438,1000000,212463046,-
2026-01-02,5263,智崴,103.5,20095534,1000000,58404812,-
2026-01-02,5244,弘凱,43.55,15765352,1000000,86083734,-
2026-01-02,8438,昶昕,41.9,8542170,1000000,193362327,-
2026-01-02,6776,展碁國際,53.7,8179992,1000000,170390176,-
2026-01-02,3360,尚立,13.85,2581237,1000000,17370848,-
2026-01-02,6461,益得,17.8,2515807,1000000,10604745,-
2026-01-02,3308,聯德,20.1,1689602,1000000,56074751,-
2026-01-02,2025,千興,10.3,1131182,1000000,11395969,-
2026-01-02,3623,,23.65,631151,1000000,21029471,-
2026-01-02,7770,,63.3,0,1000000,17262803,-
2026-01-02,7810,,309.0,0,1000000,382443372,-
2026-01-02,8102,,66.3,0,1000000,14600788,-
2026-01-05,6127,九豪,37.5,496904075,2000000,697564921,-
2026-01-05,4764,雙鍵,115.5,461899932,2000000,317436210,-
2026-01-05,3048,益登,45.7,360141349,1500000,1233861144,-
2026-01-05,3624,光頡,64.2,340898737,1500000,2923324726,-
2026-01-05,2472,立隆電,117.5,330308576,1500000,1666377100,-
2026-01-05,6155,鈞寶,48.45,328970131,1500000,527396253,-
2026-01-05,3689,湧德,127.0,324123391,1500000,1637456040,-
2026-01-05,5234,達興材料,381.5,213519459,1000000,741727800,-
2026-01-05,3709,鑫聯大投控,54.6,146538664,1000000,303391995,-
2026-01-05,6588,東典光電,51.7,118913946,1000000,124853374,-
2026-01-05,6197,佳必琪,152.5,111231082,1000000,310459898,-
2026-01-05,7728,光焱科技,607.0,98552079,1000000,481281244,-
2026-01-05,5443,均豪,94.0,95224614,1000000,423744749,-
2026-01-05,6485,點序,86.1,83511726,1000000,488368515,-
2026-01-05,3149,正達,38.7,63287020,1000000,373455398,-
2026-01-05,3289,宜特,126.5,60988320,1000000,402810114,-
2026-01-05,7714,,183.0,55762712,1000000,120228588,-
2026-01-05,6862,三集瑞-KY,167.5,40076729,1000000,146757299,-
2026-01-05,3430,奇鈦科,67.4,33593396,1000000,148156805,-
2026-01-05,5263,智崴,113.5,20342927,1000000,242624803,-
2026-01-05,8438,昶昕,46.05,18103908,1000000,114362586,-
2026-01-05,3312,弘憶股,38.3,16157021,1000000,174283481,-
2026-01-05,3321,同泰,18.6,12187653,1000000,28711290,-
2026-01-05,3041,揚智,26.2,10589661,1000000,50717976,-
2026-01-05,2460,建通,22.1,9130307,1000000,28863251,-
2026-01-05,6698,旭暉應材,33.9,7555155,1000000,22893205,-
2026-01-05,4563,百德,47.3,6040862,1000000,19699725,-
2026-01-05,3221,台嘉碩,22.9,4717190,1000000,50022147,-
2026-01-05,3308,聯德,22.1,4481527,1000000,35259557,-
2026-01-05,4720,德淵,16.6,4242457,1000000,50475012,-
2026-01-05,3360,尚立,15.2,3408141,1000000,55437367,-
2026-01-05,2462,良得電,24.1,3167350,1000000,56288597,-
2026-01-05,6461,益得,19.55,2984954,1000000,11370404,-
2026-01-05,6593,,39.1,2420531,1000000,7483982,-
2026-01-05,5228,鈺鎧,19.45,1655143,1000000,4573070,-
2026-01-05,3623,,26.0,1652758,1000000,11843988,-
2026-01-05,2025,千興,11.3,1313826,1000000,23408208,-
2026-01-05,5245,智晶,23.4,687068,1000000,5251794,-
2026-01-05,1742,台蠟,14.95,221084,1000000,3681083,-
2026-01-05,6910,,37.95,0,1000000,25238756,-
2026-01-05,7770,,69.6,0,1000000,26798022,-
2026-01-06,4764,雙鍵,127.0,472861937,2000000,351042343,-
2026-01-06,6155,鈞寶,53.2,345796715,1500000,325227508,-
2026-01-06,1717,長興,46.1,326197623,1500000,1518087925,-
2026-01-06,6285,啟碁,110.0,305915537,1000000,1292099903,-
2026-01-06,6640,均華,718.0,151678652,1000000,813916518,-
2026-01-06,2543,皇昌,66.5,94202348,1000000,584084547,-
2026-01-06,3312,弘憶股,42.1,23980751,1000000,461260517,-
2026-01-06,3057,喬鼎,23.15,19030776,1000000,41432744,-
